Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
26072663,Money Talks: When to Say Yes and How to Say No,Gail Vaz-Oxlade,"Vaz-Oxlade, Gail",,"=""1443434094""","=""9781443434096""",0,3.75,Collins,ebook,464,2015,2015,,2016/04/05,to-read,to-read (#17),to-read,,,,,,,0,,,,,
73127,Secrets of Power Negotiating: Inside Secrets from a Master Negotiator,Roger Dawson,"Dawson, Roger",,"=""1564144984""","=""9781564144980""",0,4.12,Career Press,Paperback,319,2000,1988,,2016/04/05,to-read,to-read (#16),to-read,,,,,,,0,,,,,
21911423,The Automatic Millionaire: Canadian Edition: A Powerful One-Step Plan to Live and Finish Rich,David Bach,"Bach, David",,"=""""","=""""",0,3.90,Doubleday Canada,Kindle Edition,256,2009,2003,,2016/04/05,to-read,to-read (#15),to-read,,,,,,,1,,,unspecified,,
11737840,Millionaire Teacher: The Nine Rules of Wealth You Should Have Learned in School,Andrew Hallam,"Hallam, Andrew",,"=""0470830069""","=""9780470830062""",0,4.25,John Wiley & Sons,Paperback,184,2011,2011,,2016/04/05,to-read,to-read (#14),to-read,,,,,,,1,,,unspecified,,
291447,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,"Kiyosaki, Robert T.",Sharon L. Lechter,"=""0446677450""","=""9780446677455""",0,3.94,Business Plus,Paperback,207,2000,1997,,2016/04/05,to-read,to-read (#13),to-read,,,,,,,1,,,unspecified,,
24724602,Flash Boys: A Wall Street Revolt,Michael   Lewis,"Lewis, Michael",,"=""0393351599""","=""9780393351590""",5,4.11,W. W. Norton  Company,Paperback,320,2015,2014,,2016/04/05,,,read,,,,,,,0,,,,,
40745,Mindset: The New Psychology of Success,Carol S. Dweck,"Dweck, Carol S.",,"=""1400062756""","=""9781400062751""",0,4.03,Random House,Hardcover,276,2006,2006,,2016/04/05,"to-read, altucher","to-read (#12), altucher (#14)",to-read,,,,,,,0,,,,,
13530973,Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400067820""","=""9781400067824""",0,4.04,Random House,Audiobook,521,2012,2012,,2016/04/05,"to-read, altucher, dereksivers","to-read (#11), altucher (#13), dereksivers (#22)",to-read,,,,,,,0,,,,,
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,"=""0307352145""","=""9780307352149""",0,4.04,"Crown Publishing Group/Random House, Inc.",Hardcover,337,2012,2012,,2016/04/05,"altucher, dereksivers, currently-reading","altucher (#12), dereksivers (#24), currently-reading (#1)",currently-reading,,,,0,,,1,,,unspecified,,
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",0,4.17,Crown Business,Hardcover,195,2014,2014,,2016/04/05,"to-read, altucher, dereksivers","to-read (#10), altucher (#11), dereksivers (#11)",to-read,,,,,,,0,,,,,
8034188,Where Good Ideas Come From: The Natural History of Innovation,Steven Johnson,"Johnson, Steven",,"=""1594487715""","=""9781594487712""",0,4.03,Riverhead Books,Hardcover,326,2010,2010,,2016/04/05,"to-read, altucher","to-read (#9), altucher (#10)",to-read,,,,,,,1,,,unspecified,,
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",0,4.11,"Little, Brown and Company",Hardcover,309,2008,2008,,2016/04/05,"to-read, altucher","to-read (#8), altucher (#9)",to-read,,,,,,,0,,,,,
22609444,"Bold: How to Go Big, Create Wealth and Impact the World",Peter H. Diamandis,"Diamandis, Peter H.",Steven Kotler,"=""1476709564""","=""9781476709567""",0,4.06,Simon & Schuster,Hardcover,336,2015,2015,,2016/04/05,"to-read, altucher","to-read (#7), altucher (#8)",to-read,,,,,,,0,,,,,
13589182,Mastery,Robert Greene,"Greene, Robert",,"=""0670024961""","=""9780670024964""",0,4.27,Viking,Hardcover,318,2012,2012,,2016/04/05,"to-read, altucher","to-read (#6), altucher (#7)",to-read,,,,,,,0,,,,,
22835627,"The Happy Vegan: A Guide to Living a Long, Healthy, and Successful Life",Russell Simmons,"Simmons, Russell",Chris Morrow,"=""1592409326""","=""9781592409327""",0,4.04,Avery,Hardcover,240,2015,2015,,2016/04/05,"altucher, to-read","altucher (#6), to-read (#4)",to-read,,,,,,,0,,,,,
8119730,Super Rich: A Guide to Having It All,Russell Simmons,"Simmons, Russell",Chris Morrow,"=""1592405878""","=""9781592405879""",0,3.93,Gotham,Hardcover,197,2011,2010,,2016/04/05,"altucher, to-read","altucher (#5), to-read (#5)",to-read,,,,,,,0,,,,,
18079526,Success Through Stillness: Meditation Made Simple,Russell Simmons,"Simmons, Russell",,"=""1592408656""","=""9781592408658""",4,3.94,Avery,Hardcover,224,2014,2014,2016/06/15,2016/04/05,altucher,altucher (#4),read,Gentle introduction to meditation.  Difficult at times to get through his continued name dropping.,,,,,,0,,,,,
11878168,Anything You Want,Derek Sivers,"Sivers, Derek",,"=""""","=""""",0,4.03,,Kindle Edition,90,,2011,,2016/04/05,"altucher, to-read","altucher (#3), to-read (#3)",to-read,,,,,,,0,,,,,
25733966,Smarter Faster Better: The Secrets of Being Productive in Life and Business,Charles Duhigg,"Duhigg, Charles",,"=""081299339X""","=""9780812993394""",0,3.89,Random House,Hardcover,400,2016,2016,,2016/04/05,"to-read, altucher","to-read (#2), altucher (#2)",to-read,,,,,,,0,,,,,
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Duhigg, Charles",,"=""1400069289""","=""9781400069286""",0,4.02,Random House,Hardcover,286,2012,2011,,2016/04/05,"to-read, altucher","to-read (#1), altucher (#1)",to-read,,,,,,,0,,,,,
