Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22669010,A Curious Mind: The Secret to a Bigger Life,Brian Grazer,"Grazer, Brian",Charles Fishman,"=""147673075X""","=""9781476730752""",0,3.34,Simon & Schuster,Hardcover,320,2015,2014,,2016/05/10,"altucher, to-read","altucher (#15), to-read (#83)",to-read,,,,,,,0,,,,,
25898154,People Get Ready: The Fight Against a Jobless Economy and a Citizenless Democracy,Robert W. McChesney,"McChesney, Robert W.",John Nichols,"=""1568585217""","=""9781568585215""",0,4.14,Nation Books,Hardcover,368,2016,2016,,2016/05/09,to-read,to-read (#82),to-read,,,,,,,0,,,,,
18366642,First Templar Nation: How the Knights Templar Created Europe's First Nation-state,Freddy Silva,"Silva, Freddy",,"=""""","=""9780985282431""",0,4.60,Invisible Temple,Paperback,318,2012,2012,,2016/05/04,to-read,to-read (#81),to-read,,,,,,,0,,,,,
573652,Pirates & the Lost Templar Fleet: The Secret Naval War Between the Knights Templar and the Vatican: The Secret Naval War Between the Knights Templars and the Vatican,David Hatcher Childress,"Childress, David Hatcher",,"=""1931882185""","=""9781931882187""",0,3.42,Adventures Unlimited Press,Paperback,288,2003,2003,,2016/05/04,to-read,to-read (#80),to-read,,,,,,,0,,,,,
17377036,The Orphan Trilogy (The Orphan Trilogy #1-3),James Morcan,"Morcan, James",Lance Morcan,"=""""","=""""",0,3.85,Sterling Gate Books,Kindle Edition,1093,2013,2013,,2016/05/04,to-read,to-read (#79),to-read,,,,,,,0,,,,,
9931296,"Genes, Giants, Monsters, and Men: The Surviving Elites of the Cosmic War and Their Hidden Agenda",Joseph P. Farrell,"Farrell, Joseph P.",,"=""1936239086""","=""9781936239085""",0,3.73,Feral House,Paperback,300,2011,2011,,2016/05/04,to-read,to-read (#78),to-read,,,,,,,0,,,,,
2256824,"The Cosmic War: Interplanetary Warfare, Modern Physics, and Ancient Texts",Joseph P. Farrell,"Farrell, Joseph P.",,"=""1931882754""","=""9781931882750""",0,4.00,Adventures Unlimited Press,Paperback,428,2007,2007,,2016/05/04,to-read,to-read (#77),to-read,,,,,,,0,,,,,
2388624,Quantitative Forecasting Methods,Nicholas R. Farnum,"Farnum, Nicholas R.",,"=""0534916864""","=""9780534916862""",0,4.00,Wadsworth Publishing Company,Hardcover,573,1997,1989,,2016/05/04,to-read,to-read (#76),to-read,,,,,,,0,,,,,
27968672,Goodnight Sunshine,Mark  Cameron,"Cameron, Mark",,"=""0994095309""","=""9780994095305""",0,4.58,Catch Our Drift Productions Inc.,Paperback,348,2015,2015,,2016/05/03,to-read,to-read (#75),to-read,,,,,,,0,,,,,
14891980,The 5 Elements of Effective Thinking,Edward B. Burger,"Burger, Edward B.",Michael Starbird,"=""0691156662""","=""9780691156668""",0,4.07,Princeton University Press,Hardcover,157,2012,2012,,2016/05/03,"to-read, dereksivers","to-read (#74), dereksivers (#38)",to-read,,,,,,,0,,,,,
17859574,How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life,Scott Adams,"Adams, Scott",,"=""1591846919""","=""9781591846918""",0,4.08,Penguin Portfolio,Hardcover,248,2013,2013,,2016/05/03,"to-read, dereksivers","to-read (#73), dereksivers (#37)",to-read,,,,,,,0,,,,,
18693655,A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,"Oakley, Barbara",,"=""039916524X""","=""9780399165245""",0,4.21,Tarcher/Penguin,Paperback,306,2014,2014,,2016/05/03,"to-read, dereksivers","to-read (#72), dereksivers (#36)",to-read,,,,,,,0,,,,,
25111093,The Geography of Genius: A Search for the World's Most Creative Places from Ancient Athens to Silicon Valley,Eric    Weiner,"Weiner, Eric",,"=""1451691653""","=""9781451691658""",0,3.75,Simon & Schuster,Hardcover,368,2016,2016,,2016/05/03,"to-read, dereksivers","to-read (#71), dereksivers (#34)",to-read,,,,,,,0,,,,,
619328,The Art of Profitability,Adrian J. Slywotzky,"Slywotzky, Adrian J.",,"=""0446692271""","=""9780446692274""",0,3.90,Hachette Book Group USA,Paperback,272,2003,2002,,2016/05/03,"dereksivers, to-read","dereksivers (#33), to-read (#70)",to-read,,,,,,,0,,,,,
161899,"The Smartest Investment Book You'll Ever Read: The Simple, Stress-Free Way to Reach Your Investment Goals",Daniel R. Solin,"Solin, Daniel R.",,"=""0399532838""","=""9780399532832""",0,3.65,Perigee Trade,Hardcover,192,2006,2006,,2016/05/03,"to-read, dereksivers","to-read (#69), dereksivers (#32)",to-read,,,,,,,0,,,,,
3114313,The Ultimate Sales Machine: Turbocharge Your Business with Relentless Focus on 12 Key Strategies,Chet Holmes,"Holmes, Chet","Jay Conrad Levinson, Michael E. Gerber","=""1591842158""","=""9781591842156""",0,3.94,Portfolio,Paperback,272,2008,2007,,2016/05/03,"to-read, dereksivers","to-read (#68), dereksivers (#31)",to-read,,,,,,,0,,,,,
28815,Influence: The Psychology of Persuasion,Robert B. Cialdini,"Cialdini, Robert B.",,"=""006124189X""","=""9780061241895""",0,4.18,HarperBusiness,Paperback,320,2006,1984,,2016/05/03,"to-read, dereksivers","to-read (#67), dereksivers (#30)",to-read,,,,,,,0,,,,,
96884,The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,Jonathan Haidt,"Haidt, Jonathan",,"=""0465028020""","=""9780465028023""",0,4.12,Basic Books,Paperback,297,2006,2005,,2016/05/03,"to-read, dereksivers","to-read (#66), dereksivers (#29)",to-read,,,,,,,0,,,,,
6570502,Switch: How to Change Things When Change Is Hard,Chip Heath,"Heath, Chip",Dan Heath,"=""0385528752""","=""9780385528757""",0,4.01,Crown Business,Hardcover,305,2010,2010,,2016/05/03,"to-read, dereksivers","to-read (#65), dereksivers (#28)",to-read,,,,,,,0,,,,,
9512985,The Personal MBA: Master the Art of Business,Josh Kaufman,"Kaufman, Josh",,"=""1591843529""","=""9781591843528""",0,4.03,Portfolio,Hardcover,416,2010,2010,,2016/05/03,"to-read, dereksivers","to-read (#64), dereksivers (#27)",to-read,,,,,,,0,,,,,
10127019,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,"Ries, Eric",,"=""0307887898""","=""9780307887894""",0,4.04,Crown Business,Hardcover,299,2011,2011,,2016/05/03,"to-read, dereksivers","to-read (#63), dereksivers (#26)",to-read,,,,,,,0,,,,,
10651064,What Technology Wants,Kevin Kelly,"Kelly, Kevin",,"=""0143120174""","=""9780143120179""",0,3.72,Penguin Books,Paperback,416,2011,2010,,2016/05/03,"to-read, dereksivers","to-read (#62), dereksivers (#25)",to-read,,,,,,,0,,,,,
10865206,"The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It",Kelly McGonigal,"McGonigal, Kelly",,"=""1583334386""","=""9781583334386""",0,4.10,Avery,Hardcover,275,2011,2011,,2016/05/03,"to-read, dereksivers","to-read (#61), dereksivers (#23)",to-read,,,,,,,0,,,,,
11171777,Self-Reliance,Ralph Waldo Emerson,"Emerson, Ralph Waldo",,"=""1936719061""","=""9781936719068""",0,4.04,Powered by Amazon,Hardcover,88,2011,1841,,2016/05/03,"to-read, dereksivers","to-read (#60), dereksivers (#21)",to-read,,,,,,,0,,,,,
18290401,Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,"Kleon, Austin",,"=""076117897X""","=""9780761178972""",0,4.13,Workman Publishing Company,Paperback,224,2014,2014,,2016/05/03,"to-read, dereksivers","to-read (#59), dereksivers (#20)",to-read,,,,,,,0,,,,,
17332343,The Antidote: Happiness for People Who Can't Stand Positive Thinking,Oliver Burkeman,"Burkeman, Oliver",,"=""0865478015""","=""9780865478015""",0,4.06,"Farrar, Straus and Giroux",Paperback,235,2013,2012,,2016/05/03,"to-read, dereksivers","to-read (#58), dereksivers (#19)",to-read,,,,,,,0,,,,,
482071,When Cultures Collide: Leading Across Cultures,Richard D. Lewis,"Lewis, Richard D.",,"=""1904838022""","=""9781904838029""",0,4.02,Nicholas Brealey Publishing,Paperback,599,2005,1996,,2016/05/03,"to-read, dereksivers","to-read (#57), dereksivers (#18)",to-read,,,,,,,0,,,,,
13587222,The Compound Effect,Darren Hardy,"Hardy, Darren",,"=""159315724X""","=""9781593157241""",0,4.40,Vanguard Press,Paperback,176,2012,2010,,2016/05/03,"to-read, dereksivers","to-read (#56), dereksivers (#17)",to-read,,,,,,,0,,,,,
18077832,Fluent Forever: How to Learn Any Language Fast and Remember It Forever,Gabriel Wyner,"Wyner, Gabriel",,"=""0385348118""","=""9780385348119""",0,4.23,Harmony,Paperback,326,2014,2014,,2016/05/03,"to-read, dereksivers","to-read (#55), dereksivers (#16)",to-read,,,,,,,0,,,,,
687278,When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,"Chödrön, Pema",,"=""1570623449""","=""9781570623448""",0,4.29,Shambhala,Paperback,160,2000,1996,,2016/05/03,"to-read, dereksivers","to-read (#54), dereksivers (#15)",to-read,,,,,,,0,,,,,
871520,The Wisdom of No Escape: And the Path of Loving Kindness,Pema Chödrön,"Chödrön, Pema",,"=""1570628726""","=""9781570628726""",0,4.38,Shambhala,Paperback,120,2001,1991,,2016/05/03,"to-read, dereksivers","to-read (#53), dereksivers (#14)",to-read,,,,,,,0,,,,,
23493360,The Entrepreneur Roller Coaster: Why Now Is the Time to #Join the Ride,Darren Hardy,"Hardy, Darren",,"=""0990798623""","=""9780990798620""",0,4.51,Success,Hardcover,272,2015,2015,,2016/05/03,"to-read, dereksivers","to-read (#52), dereksivers (#13)",to-read,,,,,,,0,,,,,
60653,"Cows, Pigs, Wars, and Witches: The Riddles of Culture",Marvin Harris,"Harris, Marvin",,"=""0679724680""","=""9780679724681""",0,3.92,Vintage,Paperback,288,1989,1974,,2016/05/03,"to-read, dereksivers","to-read (#51), dereksivers (#12)",to-read,,,,,,,0,,,,,
56627,Stumbling on Happiness,Daniel Todd Gilbert,"Gilbert, Daniel Todd",,"=""1400077427""","=""9781400077427""",0,3.82,Vintage,Paperback,263,2007,2006,,2016/05/03,"to-read, dereksivers","to-read (#50), dereksivers (#10)",to-read,,,,,,,0,,,,,
6624331,The Time Paradox: The New Psychology of Time That Will Change Your Life,Philip G. Zimbardo,"Zimbardo, Philip G.",John      Boyd,"=""1416541993""","=""9781416541998""",0,3.71,Atria Books,Paperback,400,2009,2008,,2016/05/03,"to-read, dereksivers","to-read (#49), dereksivers (#9)",to-read,,,,,,,0,,,,,
5617966,A Guide to the Good Life: The Ancient Art of Stoic Joy,William B. Irvine,"Irvine, William B.",,"=""0195374614""","=""9780195374612""",0,4.19,"Oxford University Press, USA",Hardcover,326,2008,,,2016/05/03,"to-read, dereksivers","to-read (#48), dereksivers (#8)",to-read,,,,,,,0,,,,,
11040172,Do the Work,Steven Pressfield,"Pressfield, Steven",Seth Godin,"=""1936719010""","=""9781936719013""",0,4.01,Powered by Amazon,Hardcover,112,2011,2011,,2016/05/03,"to-read, dereksivers","to-read (#47), dereksivers (#7)",to-read,,,,,,,0,,,,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.08,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2016/05/03,"to-read, dereksivers","to-read (#46), dereksivers (#6)",to-read,,,,,,,0,,,,,
1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield,"Pressfield, Steven",Robert McKee,"=""0446691437""","=""9780446691437""",0,4.07,Warner Books,Paperback,168,2003,2002,,2016/05/03,"to-read, dereksivers","to-read (#45), dereksivers (#5)",to-read,,,,,,,0,,,,,
13525945,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,Cal Newport,"Newport, Cal",,"=""1455509108""","=""9781455509102""",0,4.08,Business Plus,ebook,288,2012,2012,,2016/05/03,"to-read, dereksivers","to-read (#44), dereksivers (#4)",to-read,,,,,,,0,,,,,
14912777,Turning Pro,Steven Pressfield,"Pressfield, Steven",,"=""""","=""""",0,4.22,Black Irish Books,Kindle Edition,148,2012,2012,,2016/05/03,"dereksivers, to-read","dereksivers (#3), to-read (#43)",to-read,,,,,,,0,,,,,
18007504,"Mindwise: How We Understand What Others Think, Believe, Feel, and Want",Nicholas Epley,"Epley, Nicholas",,"=""0307595919""","=""9780307595911""",0,3.75,Knopf,Hardcover,242,2014,2014,,2016/05/03,"dereksivers, to-read","dereksivers (#2), to-read (#41)",to-read,,,,,,,0,,,,,
53343,On Writing Well: The Classic Guide to Writing Nonfiction,William Zinsser,"Zinsser, William",,"=""0060891548""","=""9780060891541""",0,4.23,Harper Perennial,Paperback,336,2016,1976,,2016/05/03,"dereksivers, to-read","dereksivers (#1), to-read (#42)",to-read,,,,,,,0,,,,,
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,"=""0312577222""","=""9780312577223""",2,4.54,St. Martin's Press,Hardcover,440,2015,2015,2016/04/24,2016/05/03,,,read,,,,,,,1,,,unspecified,,
3152459,The Smith Manoeuvre,Fraser Smith,"Smith, Fraser",,"=""1553696417""","=""9781553696414""",0,3.20,Trafford Publishing,Paperback,147,2006,2002,,2016/04/12,to-read,to-read (#40),to-read,,,,,,,0,,,,,
15793584,"Lost Cat: A True Story of Love, Desperation, and GPS Technology",Caroline Paul,"Paul, Caroline",Wendy MacNaughton,"=""1608199770""","=""9781608199778""",0,3.75,Bloomsbury USA,Hardcover,176,2013,2013,,2016/04/06,to-read,to-read (#39),to-read,,,,,,,0,,,,,
23471842,Whiskey Tango Foxtrot,David Shafer,"Shafer, David",,"=""0316252654""","=""9780316252652""",0,3.51,Mulholland Books,Paperback,432,2015,2014,2017/07/02,2016/04/05,,,read,,,,1,,,0,,,,,
22609866,Resilience: Hard-Won Wisdom for Living a Better Life,Eric Greitens,"Greitens, Eric",,"=""1427260141""","=""9781427260147""",0,4.35,Macmillan Audio,Audio CD,9,2015,2015,,2016/04/05,to-read,to-read (#38),to-read,,,,,,,0,,,,,
